"site","file","date_chile","hour_chile","boat_tonality","n_harmonic_peaks","peak_freq"
"Zapallar 32","20251024_075400.WAV","2025-10-24",4,35.051,3,109.6
"Zapallar 32","20251024_075700.WAV","2025-10-24",4,36.943,3,109.6
"Zapallar 32","20251024_075830.WAV","2025-10-24",4,30.336,3,109.6
"Zapallar 32","20251024_080600.WAV","2025-10-24",5,42.041,3,109.6
"Zapallar 32","20251024_081930.WAV","2025-10-24",5,42.487,3,109.6
"Zapallar 32","20251024_083000.WAV","2025-10-24",5,100.23,3,109.6
"Zapallar 32","20251024_083430.WAV","2025-10-24",5,33.363,3,109.6
"Zapallar 32","20251024_083900.WAV","2025-10-24",5,35.47,3,109.6
"Zapallar 32","20251024_084200.WAV","2025-10-24",5,36.596,3,109.6
"Zapallar 32","20251024_090300.WAV","2025-10-24",6,47.131,3,109.6
"Zapallar 32","20251024_090430.WAV","2025-10-24",6,34.141,3,109.6
"Zapallar 32","20251024_090730.WAV","2025-10-24",6,61.415,3,109.6
"Zapallar 32","20251024_091030.WAV","2025-10-24",6,43.222,3,109.6
"Zapallar 32","20251024_091330.WAV","2025-10-24",6,31.725,3,109.6
"Zapallar 32","20251024_092830.WAV","2025-10-24",6,34.21,3,109.6
"Zapallar 32","20251024_093730.WAV","2025-10-24",6,54.9,3,109.6
"Zapallar 32","20251024_095530.WAV","2025-10-24",6,31.23,3,109.6
"Zapallar 32","20251024_095700.WAV","2025-10-24",6,44.34,3,109.6
"Zapallar 32","20251025_010600.WAV","2025-10-24",22,39.378,3,109.6
"Zapallar 32","20251025_013300.WAV","2025-10-24",22,33.649,3,109.6
"Zapallar 32","20251025_020300.WAV","2025-10-24",23,37.718,3,109.6
"Zapallar 32","20251025_021500.WAV","2025-10-24",23,39.073,3,109.6
"Zapallar 32","20251025_024930.WAV","2025-10-24",23,30.138,3,109.6
"Zapallar 32","20251025_030600.WAV","2025-10-25",0,33.722,3,109.6
"Zapallar 32","20251025_033300.WAV","2025-10-25",0,38.239,3,109.6
"Zapallar 32","20251025_034030.WAV","2025-10-25",0,70.248,3,109.6
"Zapallar 32","20251025_035530.WAV","2025-10-25",0,44.307,3,109.6
"Zapallar 32","20251025_041200.WAV","2025-10-25",1,40.899,3,109.6
"Zapallar 32","20251025_043000.WAV","2025-10-25",1,34.866,3,109.6
"Zapallar 32","20251025_043730.WAV","2025-10-25",1,33.533,3,125.2
"Zapallar 32","20251025_043900.WAV","2025-10-25",1,62.078,3,109.6
"Zapallar 32","20251025_045100.WAV","2025-10-25",1,69.531,3,109.6
"Zapallar 32","20251025_051630.WAV","2025-10-25",2,43.923,3,109.6
"Zapallar 32","20251025_052830.WAV","2025-10-25",2,35.501,3,109.6
"Zapallar 32","20251025_053900.WAV","2025-10-25",2,32.388,3,109.6
"Zapallar 32","20251025_055530.WAV","2025-10-25",2,31.481,3,109.6
"Zapallar 32","20251025_055700.WAV","2025-10-25",2,33.049,3,109.6
"Zapallar 32","20251025_060730.WAV","2025-10-25",3,41.192,3,109.6
"Zapallar 32","20251025_061330.WAV","2025-10-25",3,37.112,3,109.6
"Zapallar 32","20251025_062530.WAV","2025-10-25",3,34.902,3,109.6
"Zapallar 32","20251025_064800.WAV","2025-10-25",3,54.478,3,109.6
"Zapallar 32","20251025_080130.WAV","2025-10-25",5,36.694,3,109.6
"Zapallar 32","20251025_081330.WAV","2025-10-25",5,43.897,3,109.6
"Zapallar 32","20251025_082100.WAV","2025-10-25",5,66.958,3,109.6
"Zapallar 32","20251025_085230.WAV","2025-10-25",5,43.982,3,109.6
"Zapallar 32","20251025_090130.WAV","2025-10-25",6,49.412,3,109.6
"Zapallar 32","20251025_090300.WAV","2025-10-25",6,55.188,3,109.6
"Zapallar 32","20251025_091200.WAV","2025-10-25",6,33.745,3,109.6
"Zapallar 32","20251025_091500.WAV","2025-10-25",6,45.494,3,109.6
"Zapallar 32","20251025_092530.WAV","2025-10-25",6,36.008,3,109.6
"Zapallar 32","20251026_010430.WAV","2025-10-25",22,38.211,3,109.6
"Zapallar 32","20251026_011330.WAV","2025-10-25",22,31.357,3,109.6
"Zapallar 32","20251026_011500.WAV","2025-10-25",22,41.064,3,109.6
"Zapallar 32","20251026_011930.WAV","2025-10-25",22,32.109,3,109.6
"Zapallar 32","20251026_012530.WAV","2025-10-25",22,53.712,3,109.6
"Zapallar 32","20251026_014500.WAV","2025-10-25",22,36.87,3,109.6
"Zapallar 32","20251026_015100.WAV","2025-10-25",22,35.881,3,109.6
"Zapallar 32","20251026_020130.WAV","2025-10-25",23,31.98,3,109.6
"Zapallar 32","20251026_020730.WAV","2025-10-25",23,32.068,3,109.6
"Zapallar 32","20251026_022700.WAV","2025-10-25",23,30.366,3,109.6
"Zapallar 32","20251026_023300.WAV","2025-10-25",23,41.739,3,109.6
"Zapallar 32","20251026_031800.WAV","2025-10-26",0,33.392,3,109.6
"Zapallar 32","20251026_033000.WAV","2025-10-26",0,33.61,3,109.6
"Zapallar 32","20251026_033300.WAV","2025-10-26",0,32.301,3,109.6
"Zapallar 32","20251026_042400.WAV","2025-10-26",1,43.106,3,109.6
"Zapallar 32","20251026_045100.WAV","2025-10-26",1,31.836,3,109.6
"Zapallar 32","20251026_051030.WAV","2025-10-26",2,37.735,3,109.6
"Zapallar 32","20251026_051800.WAV","2025-10-26",2,35.696,3,125.2
